state,complication_of_pregnancy_birth,birth_defects,injury,homicide,suicide,heart_disease,hiv,breast_cancer,colon_cancer,lung_cancer
AK,68.86045737206194,80.4627663822343,724.1648974401087,21.245786629016923,339.6312273886819,889.008092987233,0.0,19.33580336949135,18.99244614343769,56.25872938141614
AL,133.11223289791934,50.90166150044056,416.84511502020274,54.258538314909266,44.73641715491306,671.3534225224055,6.428528801564261,26.605960321277244,19.052720101417165,63.05947931549553
AR,99.3827618044916,45.30155579719584,641.202322721231,49.04370178838596,121.33188732974135,956.3341937870301,9.535275842936375,24.59517050872316,21.571899542090858,68.54422043542748
AZ,43.87728368970578,18.21765961330071,140.21873314193004,16.24772784365544,27.511696680345068,113.09428800604516,0.16837023672181803,23.27392234629986,17.35707658421239,46.94413125335478
CA,35.01037455648567,16.677669334180447,77.1971839924154,16.121378007235496,8.211524214157548,81.75545173111357,0.9077788817808142,24.088077760781825,17.279528243920854,45.32690170058259
CO,85.42012446687447,31.574364702561127,279.81789329751047,19.977805772428358,79.37533774174057,326.8257560216901,1.2861248351348726,22.01857916644964,16.948395569985873,41.647135360566175
CT,60.735601574453675,17.890224103544515,92.2429070816515,12.876403335672167,9.229988231765004,114.14988532309374,7.2073673538165,25.350108466605537,18.500401561463324,49.13908717695398
DC,61.03309410540197,15.803211866577296,46.13811280586935,67.39070807471468,0.0,123.70100323148435,20.52601081520959,34.5,23.700000000000003,55.400000000000006
DE,149.2547929875143,20.509197130135004,134.08035811666295,13.277630511994916,23.591504213276682,198.57170631778112,22.524551761419946,25.143828035716822,21.089710310554295,60.85792555991295
FL,55.5035159346918,20.42174127919134,163.0422807054624,15.660603138955981,18.010255727643564,178.1520083571184,17.852862731272143,23.799375436484503,18.281873700664597,55.754200605468384
GA,148.7890539577734,45.73122341438639,376.98223745935,46.1610903011449,50.92269273908534,738.5774448183184,37.40944137585621,25.62212011230326,18.866109845759357,59.09194511018701
HI,56.775674916914596,14.272338169721626,131.27414338524179,0.0,34.73981213838835,207.34100066342847,0.0,18.048683729691323,16.880476460836547,35.30089947098245
IA,43.319464362408276,20.833796868457835,425.50838846872944,3.573434414330955,138.08289963301502,786.5263992524106,0.37082809960038216,25.004359354003974,20.98619828380755,52.38142410800673
ID,128.052978946131,88.37754776446089,572.8796385967073,12.105554840262656,162.90018305278304,651.1109120730868,0.0,23.65740146218308,15.588610212330037,44.11566773680704
IL,56.71699114599113,21.318819299384153,158.24189393225348,13.844304925399411,32.789143244367025,238.01705677912207,0.4152507985547078,27.314008791251165,21.920566431861932,55.9365857656257
IN,107.60569281787406,45.05759192522034,295.6485941505169,28.12512107434136,65.14696412117846,386.48125557938465,0.414542600868977,26.346524961124675,21.395291417868034,64.87269721983817
KS,117.75477495248091,39.96812751326472,450.4703086362853,33.992947101072,108.64626822657739,909.7212177563416,1.6030971837590224,25.50862280471326,19.10692486975747,54.324965105310724
KY,75.14247958201996,39.82359727848124,618.4398590599283,18.114704899236955,89.13584950418183,901.4941037354391,1.389752492269502,26.403717180575565,23.601482171033016,78.82981330592165
LA,146.12165279726804,55.55275544319736,443.8693897906724,56.1717276486926,54.027431079655535,655.1157610661177,18.25968006210944,30.48424072448044,23.62567514393314,66.9214960867693
MA,54.26065713218987,12.283662588105196,52.572825631534194,14.549732658429944,7.454589127895901,98.0973919408859,5.0791225714175425,25.987767706876184,20.50079178051064,54.96092734151067
MD,64.78122587220743,21.248527780575202,103.88565935074499,22.319882122452942,22.65914433071423,200.48610917672133,9.838604039577257,27.831789690285746,21.163516367080284,56.7241639150716
ME,38.59236249579078,15.134259802270897,277.6379960726596,0.0,65.60701624284434,240.10503176302777,0.0,24.71727878441625,20.67416271599426,61.75215258360733
MI,76.75237084595578,25.847605835867704,179.5301980266499,15.008605988028686,46.05339862422758,262.5962615825137,0.12844758251769117,26.14789874575876,19.19247103507014,56.78512275636655
MN,45.80346902343147,30.100535789537055,275.2299476367573,10.05299447728228,75.82607462322215,343.7500669712568,0.0,24.22723825733289,18.45559152033812,47.69296754071219
MO,89.61589983983615,45.01483541396925,433.28718637452135,19.05070591054616,73.13402214709214,600.1748182424733,1.4137175426830635,27.30142073440902,20.828023122902046,62.21346895252148
MS,233.3719490819859,63.401034135226325,797.7849349283554,127.1444064677271,76.78645764865693,1383.5255904649227,24.10060908812059,27.688955382378055,21.98909334467158,68.22836248000745
MT,70.21706370835872,60.70516314512595,659.5273974798807,2.244381031774023,208.9411865294388,1121.656139450875,0.0,22.64143277010057,17.501643848792842,53.96847649278058
NC,143.3105284869407,40.13477915276345,315.1818180352454,49.624322344119854,53.18290104087851,448.8761225357994,20.28044364075077,25.656460870260204,19.26845170271656,59.658574320513
ND,93.92517713063296,61.412615816183084,537.9493840675884,1.570655135963762,195.389498913892,1734.4744666447823,0.0,24.54176481952387,19.928847751685716,46.35664143670968
NE,79.0885991311057,38.77672509519345,392.4295551422657,13.873197834643989,94.61066064281803,1057.0921891053322,1.137147363495409,23.715351773694035,21.075707120873638,51.35696494231536
NH,52.368810785226806,10.687512405148327,161.38143731773974,0.0,71.45365436584882,156.72473548406796,0.0,25.336663129608983,19.97732812189871,54.39394415011374
NJ,74.20343717111584,19.305052521098773,105.90822930915326,19.23622880444601,6.675900515317578,139.41390869960455,13.902390763857227,28.804452275053972,21.977597983465103,51.49797126036299
NM,97.02424413394843,64.56183000896087,650.1298496564999,87.84557432544555,161.53421725133583,615.2301616275596,0.0,21.759237890378675,17.368177033205,38.256152872042094
NV,32.38354038231627,21.243933780215148,143.82101758028696,22.9003808585945,51.722560022395164,232.27529156574417,0.0,25.853225040344842,21.201183738493388,61.72607906139082
NY,51.77456019669035,17.06083160258078,88.84096967846175,17.28934806849054,13.887568860061192,129.7246428521348,6.232267252084304,26.6009831297719,20.38792359551962,47.584411328599934
OH,77.8085076799265,33.879847962873825,187.81333843682708,13.764778600776237,32.15270844262434,250.16481970320763,0.9246302482143732,28.17914318527445,21.62161223763836,61.359289707766244
OK,67.30772482978587,38.219964350581925,396.82808118867473,28.749530706189944,83.852797893054,979.54160846296,0.28185814417833277,26.949902392524663,20.084556372192555,63.63493645789998
OR,62.28962147245195,33.36944007452783,218.15099795224245,10.903430213652303,67.39802958262658,235.64592250160393,1.5654799047309353,26.142831063295926,18.490107457836405,55.08979178018683
PA,73.2041923097222,26.026548205511737,157.82466650618974,14.827489441347183,32.06052383275557,179.9170626027385,3.93415210896298,27.70276111506583,21.471568840099327,54.572209463269026
RI,85.48684292443056,18.769937250798883,97.19482358581996,31.59296368946347,17.004448103446514,165.5842979253644,5.017705997738315,23.460894322465663,20.23129812700185,56.73766773308406
SC,180.77203194391274,31.374241113510593,355.8332469660404,49.68175708910967,32.59630893216419,450.37899378225995,31.162729375666704,26.235787903549703,20.447501118074545,61.9124959959653
SD,81.83696272745199,56.19041850262845,583.6844160513859,0.0,184.68089384006092,1950.55500925982,0.0,20.721949446666144,19.04526047996412,49.79521363313586
TN,95.87521899781635,43.31742009294379,405.6375366659405,27.301881498765965,59.26587789719835,549.2910482865973,3.924226210510587,27.115487814019847,20.95882175275732,67.87902911960322
TX,64.16456925923956,30.218764960650866,281.93827742890977,18.93265992323349,36.474241783715534,447.53780932676716,4.890645516214196,24.74397158823667,18.80298429114162,53.767574587156034
UT,56.365745661720496,37.21273007408127,230.68653235260174,4.413697038166331,83.4148247580059,246.55964463664947,0.0,23.011607496806143,14.764731240269114,23.981688583304482
VA,91.8008870870232,25.807849788535524,301.44837141631973,39.32624729681604,73.92171618897477,660.1285899571388,18.288819307390256,27.997859692776917,20.119771284042944,57.108007238883815
VT,37.07567610946152,17.815584624026965,320.841023994864,2.2470106733006983,134.01813658614878,418.746489045823,0.0,26.15530198218442,20.985721370676508,51.21565026883878
WA,51.13109456008094,28.913321900537216,192.2306500614925,10.464777673571776,38.04217050939771,193.4075399518334,1.2086977252149773,23.77097627310461,17.532394657619673,55.19458226690939
WI,69.68677618460747,27.582091040408397,287.7243799493551,9.410785482680271,81.39155352199099,319.7860771312313,0.19869220788768327,24.849843367319938,19.332890984268822,48.71680439348212
WV,117.89596974113525,41.5553021263105,554.4743226760954,3.7977693333979134,106.77786241727468,844.6459158018027,4.238090415531006,25.02941928254082,23.907697968358534,71.28450537632044
WY,100.92402423747383,35.735743990700854,836.8447301558629,13.74451691950033,312.58958479777885,931.0928461752936,0.0,21.950881612585263,19.989438516848818,49.66973182483988
